
╔═══════════════════════════════════════════════════════════════════╗
║  🏆  GOLD-STANDARD MLB BETTING SYSTEM – FULL MODE (2025-06-18)  ║
║  Opportunities 690  │ Batch 20 │ Parallel 5                       ║
╚═══════════════════════════════════════════════════════════════════╝

2025-06-18 03:36:47,721 | INFO     | Log file → logs\launcher_20250618_033647.log
2025-06-18 03:36:47,723 | INFO     | System ready • date=2025-06-18  max=690  batch=20  parallel=5
2025-06-18 03:36:47,724 | INFO     | Running pipeline …
2025-06-18 03:36:47,724 | INFO     | Fetching odds for 2025-06-18 …
2025-06-18 03:36:48,199 | INFO     | Pulled 648 raw opportunities
2025-06-18 03:36:48,362 | INFO     | 🧠 Analyzing 648 opportunities (batch 10, parallel 5)
2025-06-18 03:36:50,692 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:50,692 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:36:51,326 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:51,327 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:36:51,346 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:51,346 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:36:52,125 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:52,125 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:36:53,118 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:53,119 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:36:53,321 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:53,321 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:36:53,347 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:53,347 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:36:54,888 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:54,889 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:36:55,595 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:55,596 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:36:55,767 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:55,767 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:36:59,015 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:59,016 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:36:59,690 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:36:59,690 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:00,138 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:00,138 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:00,687 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:00,687 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:01,182 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:01,183 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:02,595 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:02,595 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:03,099 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:03,099 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:03,356 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:03,356 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:04,484 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:04,484 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:05,384 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:05,384 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:08,575 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:08,575 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:08,920 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:08,920 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:08,993 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:08,993 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:08,995 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
2025-06-18 03:37:08,995 | ERROR    | Grok call failed: 400, message='{"code":"Client specified an invalid argument","error":"Incorrect API key provided: xa***0p. You can obtain an API key from https://console.x.ai."}', url='https://api.x.ai/v1/chat/completions'
2025-06-18 03:37:09,463 | ERROR    | Claude call failed: 404, message='{"type":"error","error":{"type":"not_found_error","message":"model: claude-3-sonnet-20240229"}}', url='https://api.anthropic.com/v1/messages'
